EventName,Country,Location,Year,StartTime,lat,lon,temperature_2m,apparent_temperature,relative_humidity_2m,dew_point_2m,precipitation,rain,showers,snowfall,weather_code,cloud_cover,surface_pressure,wind_speed_10m,wind_gusts_10m,wind_direction_10m,condition,is_wet,track_air_delta
Emilia Romagna Grand Prix,Italy,Imola,2022,2022-04-24 13:00:00+00:00,44.341,11.713,13.6,12.7,77,9.6,1.0,1.0,0.0,0.0,55,100,998.9,5.5,30.2,113,Dense drizzle,True,
Miami Grand Prix,United States,Miami,2022,2022-05-08 19:30:00+00:00,25.958,-80.239,33.1,36.5,44,19.2,0.0,0.0,0.0,0.0,3,100,1009.6,9.7,29.5,285,Overcast,False,
Spanish Grand Prix,Spain,Barcelona,2022,2022-05-22 13:00:00+00:00,41.569,2.259,34.7,32.3,15,3.8,0.0,0.0,0.0,0.0,1,46,996.7,18.9,47.2,228,Mainly clear,False,
Monaco Grand Prix,Monaco,Monaco,2022,2022-05-29 13:00:00+00:00,43.737,7.429,23.5,24.2,70,17.8,0.1,0.1,0.0,0.0,51,67,1003.1,15.0,45.4,240,Light drizzle,False,
Azerbaijan Grand Prix,Azerbaijan,Baku,2022,2022-06-12 11:00:00+00:00,40.369,49.842,26.5,26.4,48,14.7,0.0,0.0,0.0,0.0,0,2,1009.3,20.2,39.6,164,Clear sky,False,
Canadian Grand Prix,Canada,Montréal,2022,2022-06-19 18:00:00+00:00,45.506,-73.525,19.8,17.2,38,5.1,0.0,0.0,0.0,0.0,0,0,1012.4,22.1,41.0,334,Clear sky,False,
British Grand Prix,Great Britain,Silverstone,2022,2022-07-03 14:00:00+00:00,52.072,-1.017,17.6,15.8,64,10.7,0.2,0.2,0.0,0.0,51,100,1001.5,16.6,30.2,283,Light drizzle,True,
Austrian Grand Prix,Austria,Spielberg,2022,2022-07-10 13:00:00+00:00,47.223,14.761,20.3,17.9,40,6.4,0.0,0.0,0.0,0.0,3,100,938.3,17.3,50.8,313,Overcast,False,
French Grand Prix,France,Le Castellet,2022,2022-07-24 13:00:00+00:00,43.253,5.791,31.9,33.6,36,15.0,0.0,0.0,0.0,0.0,0,0,969.4,12.3,34.6,212,Clear sky,False,
Hungarian Grand Prix,Hungary,Budapest,2022,2022-07-31 13:00:00+00:00,47.583,19.25,20.0,16.9,65,13.1,0.1,0.1,0.0,0.0,51,100,988.2,27.7,53.6,314,Light drizzle,False,
Belgian Grand Prix,Belgium,Spa-Francorchamps,2022,2022-08-28 13:00:00+00:00,50.436,5.971,20.6,19.7,48,9.4,0.0,0.0,0.0,0.0,2,51,976.1,11.8,28.4,40,Partly cloudy,False,
Dutch Grand Prix,Netherlands,Zandvoort,2022,2022-09-04 13:00:00+00:00,52.389,4.541,23.0,24.7,74,18.2,0.0,0.0,0.0,0.0,3,100,1017.3,8.9,26.6,310,Overcast,False,
Italian Grand Prix,Italy,Monza,2022,2022-09-11 13:00:00+00:00,45.621,9.29,25.5,26.5,49,13.9,0.0,0.0,0.0,0.0,0,11,993.9,5.2,14.4,236,Clear sky,False,
Singapore Grand Prix,Singapore,Singapore,2022,2022-10-02 12:00:00+00:00,1.291,103.859,25.5,30.2,87,23.2,0.1,0.1,0.0,0.0,51,71,1006.3,6.6,9.0,202,Light drizzle,False,
Japanese Grand Prix,Japan,Suzuka,2022,2022-10-09 05:00:00+00:00,34.844,136.534,19.3,19.6,79,15.6,1.0,1.0,0.0,0.0,55,100,1013.5,11.3,19.8,97,Dense drizzle,True,
United States Grand Prix,United States,Austin,2022,2022-10-23 19:00:00+00:00,30.135,-97.633,29.6,26.4,41,14.9,0.0,0.0,0.0,0.0,2,50,991.5,33.4,56.2,172,Partly cloudy,False,
Mexico City Grand Prix,Mexico,Mexico City,2022,2022-10-30 20:00:00+00:00,19.402,-99.091,24.1,22.7,36,8.0,0.6,0.6,0.0,0.0,53,72,787.2,12.6,27.4,268,Moderate drizzle,True,
São Paulo Grand Prix,Brazil,São Paulo,2022,2022-11-13 18:00:00+00:00,-23.702,-46.698,22.0,23.4,94,21.0,0.0,0.0,0.0,0.0,3,100,927.1,24.2,40.7,134,Overcast,False,
Abu Dhabi Grand Prix,Abu Dhabi,Yas Marina,2022,2022-11-20 13:00:00+00:00,24.471,54.601,28.4,28.0,57,19.1,0.0,0.0,0.0,0.0,3,82,1013.3,26.1,40.3,321,Overcast,False,
Bahrain Grand Prix,Bahrain,Sakhir,2023,2023-03-05 15:00:00+00:00,26.031,50.512,27.9,25.2,23,5.1,0.0,0.0,0.0,0.0,0,0,1016.2,9.8,16.2,174,Clear sky,False,
Saudi Arabian Grand Prix,Saudi Arabia,Jeddah,2023,2023-03-19 17:00:00+00:00,21.632,39.104,25.1,24.6,57,16.1,0.0,0.0,0.0,0.0,0,0,1011.3,18.2,28.8,346,Clear sky,False,
Australian Grand Prix,Australia,Melbourne,2023,2023-04-02 05:00:00+00:00,-37.846,144.97,17.0,14.3,56,8.1,0.0,0.0,0.0,0.0,1,40,1019.2,15.7,33.8,191,Mainly clear,False,
Azerbaijan Grand Prix,Azerbaijan,Baku,2023,2023-04-30 11:00:00+00:00,40.369,49.842,26.3,26.1,36,10.2,0.0,0.0,0.0,0.0,1,23,1007.5,9.9,24.1,44,Mainly clear,False,
Miami Grand Prix,United States,Miami,2023,2023-05-07 19:30:00+00:00,25.958,-80.239,26.8,27.7,59,18.1,0.1,0.1,0.0,0.0,51,41,1018.9,24.6,48.6,84,Light drizzle,False,
Monaco Grand Prix,Monaco,Monaco,2023,2023-05-28 13:00:00+00:00,43.737,7.429,24.5,25.5,58,15.7,0.1,0.1,0.0,0.0,51,100,1013.0,6.4,20.9,232,Light drizzle,False,
Spanish Grand Prix,Spain,Barcelona,2023,2023-06-04 13:00:00+00:00,41.569,2.259,22.5,24.6,65,15.7,0.1,0.1,0.0,0.0,51,55,1000.7,7.6,23.0,109,Light drizzle,False,
Canadian Grand Prix,Canada,Montréal,2023,2023-06-18 18:00:00+00:00,45.506,-73.525,18.8,17.1,63,11.6,0.0,0.0,0.0,0.0,3,100,1010.6,15.4,33.5,33,Overcast,False,
Austrian Grand Prix,Austria,Spielberg,2023,2023-07-02 13:00:00+00:00,47.223,14.761,23.7,23.1,44,10.9,0.0,0.0,0.0,0.0,3,82,932.5,7.0,24.8,291,Overcast,False,
British Grand Prix,Great Britain,Silverstone,2023,2023-07-09 14:00:00+00:00,52.072,-1.017,21.2,19.8,60,13.1,0.0,0.0,0.0,0.0,1,39,1000.6,16.6,41.0,204,Mainly clear,False,
Hungarian Grand Prix,Hungary,Budapest,2023,2023-07-23 13:00:00+00:00,47.583,19.25,28.9,28.2,34,11.4,0.0,0.0,0.0,0.0,0,7,991.3,15.6,32.8,218,Clear sky,False,
Belgian Grand Prix,Belgium,Spa-Francorchamps,2023,2023-07-30 13:00:00+00:00,50.436,5.971,17.6,14.1,62,10.3,0.0,0.0,0.0,0.0,2,68,970.7,28.5,53.6,257,Partly cloudy,False,
Dutch Grand Prix,Netherlands,Zandvoort,2023,2023-08-27 13:00:00+00:00,52.389,4.541,16.3,13.5,76,12.1,0.4,0.4,0.0,0.0,51,60,1007.6,24.1,40.0,272,Light drizzle,True,
Italian Grand Prix,Italy,Monza,2023,2023-09-03 13:00:00+00:00,45.621,9.29,27.9,30.1,54,17.9,0.0,0.0,0.0,0.0,3,100,1000.3,9.8,22.3,262,Overcast,False,
Singapore Grand Prix,Singapore,Singapore,2023,2023-09-17 12:00:00+00:00,1.291,103.859,27.6,32.7,75,22.9,0.1,0.1,0.0,0.0,51,36,1006.7,2.5,21.6,98,Light drizzle,False,
Japanese Grand Prix,Japan,Suzuka,2023,2023-09-24 05:00:00+00:00,34.844,136.534,26.7,28.3,51,15.9,0.0,0.0,0.0,0.0,0,8,1010.8,9.3,20.9,167,Clear sky,False,
Qatar Grand Prix,Qatar,Lusail,2023,2023-10-08 17:00:00+00:00,25.49,51.454,32.0,37.9,65,24.5,0.0,0.0,0.0,0.0,0,0,1009.4,3.9,8.3,68,Clear sky,False,
United States Grand Prix,United States,Austin,2023,2023-10-22 19:00:00+00:00,30.135,-97.633,29.9,30.8,43,15.9,0.0,0.0,0.0,0.0,0,3,993.8,14.4,29.2,158,Clear sky,False,
